"station","latitude","longitude","numDocks","timestamp","year","month","day","hour","weekday","weekhour","isHoliday","windMaxSpeed.m.s","windMeanSpeed.m.s","windDirection.grades","temperature.C","relHumidity.HR","airPressure.mb","precipitation.l.m2","bikes_3h_ago","full_profile_3h_diff_bikes","full_profile_bikes","short_profile_3h_diff_bikes","short_profile_bikes","bikes"
9,39.4674360848,-0.3773501009,30,1338501600,2012,6,1,0,"Friday",97,0,0.9,0.6,128,22.2,64,1011,0,NA,NA,NA,NA,NA,3
9,39.4674360848,-0.3773501009,30,1338505200,2012,6,1,1,"Friday",98,0,0.9,0.5,128,22.6,64,1011,0,NA,NA,NA,NA,NA,2
9,39.4674360848,-0.3773501009,30,1338508800,2012,6,1,2,"Friday",99,0,1,0.5,30,22,68,1011,0,NA,NA,NA,NA,NA,0
9,39.4674360848,-0.3773501009,30,1338512400,2012,6,1,3,"Friday",100,0,0.7,0.1,8,21.7,63,1010,0,3,NA,NA,NA,NA,1
9,39.4674360848,-0.3773501009,30,1338516000,2012,6,1,4,"Friday",101,0,0.7,0.1,3,21.2,64,1010,0,2,NA,NA,NA,NA,0
9,39.4674360848,-0.3773501009,30,1338519600,2012,6,1,5,"Friday",102,0,1.2,0.3,311,21.2,57,1010,0,0,NA,NA,NA,NA,0
9,39.4674360848,-0.3773501009,30,1338523200,2012,6,1,6,"Friday",103,0,1.5,0.3,313,21.7,53,1010,0,1,NA,NA,NA,NA,6
9,39.4674360848,-0.3773501009,30,1338526800,2012,6,1,7,"Friday",104,0,1.2,0.2,286,23.3,48,1010,0,0,NA,NA,NA,NA,16
9,39.4674360848,-0.3773501009,30,1338530400,2012,6,1,8,"Friday",105,0,1.7,0.1,284,25.4,42,1010,0,0,NA,NA,NA,NA,21
9,39.4674360848,-0.3773501009,30,1338534000,2012,6,1,9,"Friday",106,0,1.8,0.4,250,27.3,36,1009,0,6,NA,NA,NA,NA,22
9,39.4674360848,-0.3773501009,30,1338537600,2012,6,1,10,"Friday",107,0,5.1,2.7,144,25.5,47,1009,0,16,NA,NA,NA,NA,19
